Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;185;30.269550377;17192.77152083001;3340.0;Split(2732,1059,2168,[C(462),C(-462)],MaxDepth(3));-169.1116815150732;-169.012265428701;NaN
0;186;62.723233758000006;17255.49475458801;3353.0;Split(2721,1147,2146,[C(632),C(-632)],MaxDepth(3));-168.8334999520849;-168.72926178519984;NaN
0;187;320.530668346;17576.02542293401;3362.0;Split(2844,291,2520,[C(230),C(-230)],MaxDepth(3));-168.55899588335086;-168.4510514846952;NaN
0;188;65.00193834000001;17641.02736127401;3371.0;Split(2842,307,2516,[C(286),C(-286)],MaxDepth(3));-168.28464555078065;-168.15693754883424;NaN
0;189;67.25303897;17708.28040024401;3374.0;Split(1923,1397,18,[C(665),C(-665)],MaxDepth(3));-168.1941637849628;-168.06008314183666;NaN
0;190;37.483951947;17745.76435219101;3392.0;Split(3021,1391,2906,[C(609),C(-609)],MaxDepth(3));-167.59952210838122;-167.44301833248;NaN
0;191;303.148482471;18048.91283466201;3394.0;Clone(30,1388,[{4542:30}],MaxDepth(3));-167.51720991097696;-167.3559400446673;NaN
0;192;32.778246333000006;18081.69108099501;3396.0;Clone(3557,1042,[{4051:3559}],MaxDepth(3));-167.45704086617954;-167.30071624299734;NaN
0;193;301.00027740900003;18382.69135840401;3405.0;Split(2821,475,2474,[C(403),C(-403)],MaxDepth(3));-167.22511116432455;-167.06321579734873;NaN
0;194;64.44624694800001;18447.137605352007;3408.0;Split(2180,1009,408,[C(621),C(-621)],MaxDepth(3));-167.13871137009173;-166.97651075476628;NaN
0;195;32.543728007;18479.681333359007;3411.0;Split(2565,109,1566,[C(147),C(-147)],MaxDepth(3));-167.05327340990397;-166.8950959493076;NaN
0;196;30.04153219;18509.722865549007;3413.0;Clone(3512,418,[{4352:3514}],MaxDepth(3));-166.9964399950184;-166.83547690399215;NaN
0;197;28.011274901;18537.734140450008;3416.0;Split(2553,157,1494,[C(95),C(-95)],MaxDepth(3));-166.91262458549474;-166.75474407598557;NaN
0;198;28.986248049;18566.72038849901;3425.0;Split(2836,355,2504,[C(342),C(-342)],MaxDepth(3));-166.66139096995096;-166.4736344639065;NaN
0;199;67.414906472;18634.13529497101;3434.0;Split(2677,1371,1930,[C(635),C(-635)],MaxDepth(3));-166.44062521699834;-166.25216365610552;NaN
0;200;67.99453709400001;18702.12983206501;3447.0;Split(2723,1131,2150,[C(576),C(-576)],MaxDepth(3));-166.19316335452677;-165.99711505541643;NaN
0;201;60.989685049;18763.11951711401;3450.0;Split(2692,1265,1976,[C(741),C(-741)],MaxDepth(3));-166.11088853128626;-165.90551126202882;NaN
0;202;31.971437237000004;18795.09095435101;3453.0;Split(2698,1241,2012,[C(739),C(-739)],MaxDepth(3));-166.02944448040924;-165.82625886968077;NaN
0;203;33.170275867;18828.26123021801;3466.0;Split(2784,707,2336,[C(242),C(-242)],MaxDepth(3));-165.7937399339087;-165.58334526748456;NaN
0;204;71.80155647800001;18900.06278669601;3492.0;Split(3023,1327,2910,[C(499),C(-499)],MaxDepth(3));-165.11824883477618;-164.91090764379848;NaN
0;205;319.16138731300003;19219.22417400901;3505.0;Split(2722,1139,2148,[C(630),C(-630)],MaxDepth(3));-164.8914524091698;-164.6736267702066;NaN
0;206;64.45239178700001;19283.67656579601;3518.0;Split(2724,1123,2152,[C(574),C(-574)],MaxDepth(3));-164.6672524653717;-164.45472119483114;NaN
0;207;67.001967968;19350.67853376401;3546.0;Split(3079,1375,3022,[C(607),C(-607)],MaxDepth(3));-163.97286366493978;-163.75145802578683;NaN
0;208;630.946719332;19981.625253096012;3550.0;Clone(3287,1353,[{4781:3287}],MaxDepth(3));-163.89707527743556;-163.67464482227558;NaN
0;209;223.54133549000002;20205.166588586013;3559.0;Split(2801,635,2434,[C(191),C(-191)],MaxDepth(3));-163.7018757314581;-163.4941399170068;NaN
0;210;65.710005795;20270.876594381014;3561.0;Clone(522,932,[{4169:522}],MaxDepth(3));-163.65420199442104;-163.4440886367467;NaN
0;211;362.26340295700004;20633.139997338014;3564.0;Split(2690,1273,1964,[C(743),C(-743)],MaxDepth(3));-163.583638484469;-163.3734230530888;NaN
0;212;32.614736203;20665.754733541013;3566.0;Clone(4277,194,[{4299:4279}],MaxDepth(3));-163.5372374806851;-163.32334583235877;NaN
0;213;32.644879983;20698.399613524012;3568.0;Clone(12,1400,[{4536:12}],MaxDepth(3));-163.4908696362881;-163.2694002157458;NaN
0;214;65.878447873;20764.278061397014;3579.0;Split(4360,419,4352,[C(237),C(-237)],MaxDepth(3));-163.3996513016098;-163.17418999727266;NaN
0;215;64.567162229;20828.845223626013;3588.0;Split(2737,1019,2178,[C(623),C(-623)],MaxDepth(3));-163.2181791665829;-162.99659829929683;NaN
0;216;70.403988122;20899.249211748014;3617.0;Split(3047,751,2958,[C(274),C(-274)],MaxDepth(3));-162.56318141389693;-162.33282807190764;NaN
0;217;301.20246848200003;21200.451680230013;3619.0;Clone(4138,738,[{4897:4139}],MaxDepth(3));-162.49690379515727;-162.26041933835623;NaN
