517776.142281352;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
529181.95732969;	0.0,111.0,9484.928265101218,9484.928265101218,-9217404.540691542,-9217404.540691542,-9217404.540691542,-2304589.3007784258,-2304589.3007784258,0.0,0.0
529211.709642921;	0.0,112.0,28423.869560199215,28423.869560199215,-9188980.67113134,-9188980.67113134,-9188980.67113134,-2297509.4901275407,-2297509.4901275407,0.0,0.0
529273.328596343;	0.0,113.0,28354.87825183961,28354.87825183962,-9160625.792879501,-9160625.792879501,-9160625.792879501,-2290194.9195961794,-2290194.9195961794,0.0,0.0
529339.0554829751;	0.0,114.0,27915.666574680894,27915.666574680894,-9132710.126304826,-9132710.126304826,-9132710.126304826,-2282872.4716352923,-2282872.4716352923,0.0,0.0
529400.349154292;	0.0,115.0,9266.979045180819,9266.979045180819,-9123443.147259643,-9123443.147259643,-9123443.147259643,-2280475.200159828,-2280475.200159828,0.0,0.0
529430.559259269;	0.0,116.0,27484.871711061314,27484.871711061314,-9095958.275548583,-9095958.275548583,-9095958.275548583,-2273574.0682153082,-2273574.0682153082,0.0,0.0
529493.25264027;	0.0,117.0,9151.082420288745,9151.082420288745,-9086807.193128293,-9086807.193128293,-9086807.193128293,-2271377.522175899,-2271377.522175899,0.0,0.0
529525.500616316;	0.0,118.0,9112.356667365719,9112.356667365719,-9077694.836460928,-9077694.836460928,-9077694.836460928,-2269176.8955489662,-2269176.8955489662,0.0,0.0
529554.114948719;	0.0,119.0,9110.08889228938,9110.08889228938,-9068584.747568643,-9068584.747568643,-9068584.747568643,-2267009.0756101133,-2267009.0756101133,0.0,0.0
529583.910587509;	0.0,120.0,9086.901750526089,9086.901750526089,-9059497.84581812,-9059497.84581812,-9059497.84581812,-2264628.9225401124,-2264628.9225401124,0.0,0.0
529613.277949983;	0.0,121.0,27122.87977329445,27122.87977329445,-9032374.966044823,-9032374.966044823,-9032374.966044823,-2257849.3643864812,-2257849.3643864812,0.0,0.0
529678.9825815241;	0.0,122.0,27062.82358502633,27062.82358502633,-9005312.142459797,-9005312.142459797,-9005312.142459797,-2251003.7833274286,-2251003.7833274286,0.0,0.0
529743.435523075;	0.0,123.0,8944.701556246708,8944.701556246708,-8996367.44090355,-8996367.44090355,-8996367.44090355,-2248815.6779066706,-2248815.6779066706,0.0,0.0
529778.057139019;	0.0,124.0,26627.922176609674,26627.92217660968,-8969739.518726943,-8969739.518726943,-8969739.518726943,-2242014.8263174845,-2242014.8263174845,0.0,0.0
529972.5611069581;	0.0,125.0,8863.539648469701,8863.539648469701,-8960875.97907847,-8960875.97907847,-8960875.97907847,-2239933.0151639935,-2239933.0151639935,0.0,0.0
530000.169492239;	0.0,126.0,8817.075612937875,8817.075612937875,-8952058.903465545,-8952058.903465545,-8952058.903465545,-2237757.5594945033,-2237757.5594945033,0.0,0.0
530030.293873009;	0.0,127.0,8812.196213875224,8812.196213875224,-8943246.70725167,-8943246.70725167,-8943246.70725167,-2235513.0920934486,-2235513.0920934486,0.0,0.0
530182.3714496781;	0.0,128.0,8669.114869731675,8669.114869731675,-8934577.592381937,-8934577.592381937,-8934577.592381937,-2233266.120530229,-2233266.120530229,0.0,0.0
530210.5203997181;	0.0,129.0,25794.108725910988,25794.108725910988,-8908783.483656028,-8908783.483656028,-8908783.483656028,-2226881.853371822,-2226881.853371822,0.0,0.0
530335.282944028;	0.0,130.0,8593.444741644249,8593.444741644249,-8900190.038914384,-8900190.038914384,-8900190.038914384,-2224857.690351034,-2224857.690351034,0.0,0.0
530365.313364601;	0.0,131.0,8573.233565611634,8573.233565611634,-8891616.805348767,-8891616.805348767,-8891616.805348767,-2222766.4185211477,-2222766.4185211477,0.0,0.0
530395.9204039341;	0.0,132.0,8491.772152468126,8491.772152468126,-8883125.033196295,-8883125.033196295,-8883125.033196295,-2220723.7923759976,-2220723.7923759976,0.0,0.0
530424.311535966;	0.0,133.0,8489.073572014284,8489.073572014284,-8874635.959624285,-8874635.959624285,-8874635.959624285,-2218639.992569814,-2218639.992569814,0.0,0.0
530454.8536738771;	0.0,134.0,24894.24384891892,24894.24384891891,-8849741.715775361,-8849741.715775361,-8849741.715775361,-2212339.801771964,-2212339.801771964,0.0,0.0
530525.275662267;	0.0,135.0,24853.154650332628,24853.154650332628,-8824888.56112503,-8824888.56112503,-8824888.56112503,-2206174.339300669,-2206174.339300669,0.0,0.0
530591.811830939;	0.0,136.0,8167.9730710807835,8167.9730710807835,-8816720.588053951,-8816720.588053951,-8816720.588053951,-2204128.351006998,-2204128.351006998,0.0,0.0
530619.2389556101;	0.0,137.0,7624.800512235102,7624.800512235102,-8809095.787541712,-8809095.787541712,-8809095.787541712,-2202337.900988318,-2202337.900988318,0.0,0.0
530646.694731461;	0.0,138.0,7555.293854245332,7555.293854245332,-8801540.493687468,-8801540.493687468,-8801540.493687468,-2200477.4397104513,-2200477.4397104513,0.0,0.0
530675.260136378;	0.0,139.0,7518.789825648688,7518.789825648688,-8794021.703861823,-8794021.703861823,-8794021.703861823,-2198493.468394842,-2198493.468394842,0.0,0.0
530704.937853198;	0.0,140.0,7490.298468109046,7490.298468109046,-8786531.405393714,-8786531.405393714,-8786531.405393714,-2196715.2245386643,-2196715.2245386643,0.0,0.0
530735.88307927;	0.0,141.0,7471.277074050229,7471.277074050229,-8779060.128319664,-8779060.128319664,-8779060.128319664,-2194675.201251395,-2194675.201251395,0.0,0.0
